Campaign,Keyword,Criterion Type,Status,"Grupo (nota, borrar antes de importar)"
PMK | Search | Futbol Clubes | CL,colo colo,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,colocolo,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,universidad de chile,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,u de chile,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,universidad catolica,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,cruzados,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,la roja,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,seleccion chilena,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,cobreloa,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,santiago wanderers,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,everton,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,union espanola,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,palestino,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,huachipato,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,nublense,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,coquimbo unido,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,union la calera,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,barcelona,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,real madrid,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,boca juniors,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,river plate,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,manchester,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,liverpool,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,psg,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,inter miami,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,brasil,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,argentina,Campaign Negative Phrase,Enabled,"Clubes y selecciones (buscan la camiseta de ESE club, no fabricar la propia)"
PMK | Search | Futbol Clubes | CL,nike,Campaign Negative Phrase,Enabled,"Marcas deportivas (buscan producto de marca, no fabricacion)"
PMK | Search | Futbol Clubes | CL,adidas,Campaign Negative Phrase,Enabled,"Marcas deportivas (buscan producto de marca, no fabricacion)"
PMK | Search | Futbol Clubes | CL,puma,Campaign Negative Phrase,Enabled,"Marcas deportivas (buscan producto de marca, no fabricacion)"
PMK | Search | Futbol Clubes | CL,umbro,Campaign Negative Phrase,Enabled,"Marcas deportivas (buscan producto de marca, no fabricacion)"
PMK | Search | Futbol Clubes | CL,joma,Campaign Negative Phrase,Enabled,"Marcas deportivas (buscan producto de marca, no fabricacion)"
