Tipo,Nivel,Campaign,Texto / Valor,Descripcion 1,Descripcion 2,Final URL
Sitelink,Campana,PMK | Search | Futbol Clubes | CL,Fútbol,"Camisetas, shorts y medias",Todo para equipar tu club,https://playmaker.cl/16-futbol
Sitelink,Campana,PMK | Search | Futbol Clubes | CL,Personalizador,50 diseños base para elegir,Combina tus colores,https://playmaker.cl/20-personalizador
Sitelink,Campana,PMK | Search | Futbol Clubes | CL,Instituciones,Colegios y universidades,Todas las ramas deportivas,https://playmaker.cl/54-instituciones
Sitelink,Campana,PMK | Search | Futbol Clubes | CL,Salida de cancha,Buzos y parkas del club,Identidad fuera de la cancha,https://playmaker.cl/30-salida-cancha
Texto destacado,Campana,PMK | Search | Futbol Clubes | CL,Fabricación en Chile,,,
Texto destacado,Campana,PMK | Search | Futbol Clubes | CL,Desde 12 unidades,,,
Texto destacado,Campana,PMK | Search | Futbol Clubes | CL,Cotización en 24 horas,,,
Texto destacado,Campana,PMK | Search | Futbol Clubes | CL,Diseño sin costo,,,
Texto destacado,Campana,PMK | Search | Futbol Clubes | CL,Sublimación full color,,,
Texto destacado,Campana,PMK | Search | Futbol Clubes | CL,Envíos a todo Chile,,,
Texto destacado,Campana,PMK | Search | Futbol Clubes | CL,Mockup antes de producir,,,
Texto destacado,Campana,PMK | Search | Futbol Clubes | CL,Fabricante desde 2014,,,
Fragmento estructurado (Catálogo de servicios),Campana,PMK | Search | Futbol Clubes | CL,Diseño,,,
Fragmento estructurado (Catálogo de servicios),Campana,PMK | Search | Futbol Clubes | CL,Sublimación,,,
Fragmento estructurado (Catálogo de servicios),Campana,PMK | Search | Futbol Clubes | CL,Tallaje,,,
Fragmento estructurado (Catálogo de servicios),Campana,PMK | Search | Futbol Clubes | CL,Producción,,,
Fragmento estructurado (Catálogo de servicios),Campana,PMK | Search | Futbol Clubes | CL,Control de calidad,,,
Fragmento estructurado (Catálogo de servicios),Campana,PMK | Search | Futbol Clubes | CL,Entrega,,,
Fragmento estructurado (Catálogo de servicios),Campana,PMK | Search | Futbol Clubes | CL,Reposición,,,
Fragmento estructurado (Tipos),Campana,PMK | Search | Futbol Clubes | CL,Fútbol,,,
Fragmento estructurado (Tipos),Campana,PMK | Search | Futbol Clubes | CL,Rugby,,,
Fragmento estructurado (Tipos),Campana,PMK | Search | Futbol Clubes | CL,Básquetbol,,,
Fragmento estructurado (Tipos),Campana,PMK | Search | Futbol Clubes | CL,Vóleibol,,,
Fragmento estructurado (Tipos),Campana,PMK | Search | Futbol Clubes | CL,Running,,,
Fragmento estructurado (Tipos),Campana,PMK | Search | Futbol Clubes | CL,Salida de cancha,,,
Llamada,Campana,PMK | Search | Futbol Clubes | CL,+56 9 8885 1907,CONFIRMAR cual numero contesta ventas,L-V 09:00-19:00,
